V: 0.00 | I: 0.00 | P: 0.00 | F: 0.00
V: 235.00 | I: 5.00 | P: 235.00 | F: 50.00
V: 237.00 | I: 7.00 | P: 197.00 | F: 49.00
V: 231.00 | I: 7.00 | P: 231.00 | F: 49.00
V: 228.00 | I: 5.00 | P: 293.00 | F: 49.00
V: 226.00 | I: 4.00 | P: 166.00 | F: 49.00
V: 230.00 | I: 8.00 | P: 170.00 | F: 50.00
V: 0.00 | I: 0.00 | P: 0.00 | F: 0.00
V: 239.00 | I: 9.00 | P: 179.00 | F: 49.00
V: 225.00 | I: 9.00 | P: 285.00 | F: 51.00
V: 235.00 | I: 5.00 | P: 135.00 | F: 50.00
V: 238.00 | I: 6.00 | P: 118.00 | F: 51.00
V: 232.00 | I: 6.00 | P: 212.00 | F: 49.00
